id,station,x,y,docks,deployment_year
E32012,Martha Eliot Health Center,-71.102,42.3242,16,2020
E32013,Hyde Park Library,-71.1225,42.2568,15,2021
H32001,Cary Square,-71.0307,42.3981,12,2021
H32002,Bellingham Square,-71.0334,42.3932,11,2021
H32003,Chelsea Square,-71.0386,42.3902,11,2021
H32004,Broadway at Gerrish Ave,-71.0309,42.3945,11,2021
H32005,Chelsea Station,-71.0399,42.3964,11,2021
H32006,855 Broadway,-71.0239,42.3984,11,2021
K32001,Coolidge Corner - Beacon St at Centre St,-71.1233,42.3416,19,2012
K32002,Beacon St at Tappan St,-71.1389,42.3383,15,2012
K32003,Brookline Village - Station Street at MBTA,-71.1163,42.3327,19,2012
K32004,JFK Crossing at Harvard St. / Thorndike St.,-71.1283,42.3466,15,2013
K32005,Brookline Town Hall,-71.1205,42.3338,15,2016
K32006,Commonwealth Ave At Babcock St,-71.1213,42.3515,15,2017
K32007,St Mary's,-71.1073,42.3462,15,2018
K32008,Tappan St at Brookline Hills MBTA,-71.1282,42.333,15,2018
K32009,Cypress St at Clark Playground,-71.1254,42.3278,15,2018
K32010,High St at Cypress St,-71.1214,42.3246,15,2019
K32011,Washington St at Griggs Rd,-71.1342,42.3399,15,2019
K32012,Marion St at Harvard St,-71.1207,42.3401,15,2019
K32015,1200 Beacon St,-71.1147,42.3441,15,2021
K32017,Harvard St and Stedman St,-71.1249,42.3444,15,2021
L32001,Railroad Lot and Minuteman Bikeway,-71.1534,42.4161,11,2020
L32002,Linwood St at Minuteman Bikeway,-71.1491,42.4094,11,2020
L32003,Mass Ave at Grafton St,-71.1438,42.4073,0,2020
L32004,Broadway at Grafton St,-71.1401,42.4099,0,2020
L32005,Thorndike Field at Minuteman Bikeway,-71.1446,42.4002,11,2020
L32006,Mass Ave at Broadway,-71.1505,42.4142,0,2021
M32001,Lechmere Station at Cambridge St / First St,-71.0765,42.3707,19,2012
M32002,One Kendall Square at Hampshire St / Portland St,-71.0917,42.3663,19,2012
M32003,One Broadway / Kendall Sq at Main St / 3rd St,-71.0831,42.3622,23,2012
M32004,Kendall T,-71.085,42.3624,23,2016
M32005,MIT Stata Center at Vassar St / Main St,-71.0912,42.3621,35,2012
M32006,MIT at Mass Ave / Amherst St,-71.0932,42.3581,27,2012
M32007,Cambridge St - at Columbia St / Webster Ave,-71.0944,42.373,15,2012
M32009,Lafayette Square at Mass Ave / Main St / Columbia St,-71.1006,42.3635,15,2012
M32010,NA,-71.1014,42.374,19,pre-2017
M32011,Central Square at Mass Ave / Essex St,-71.1031,42.3651,19,2012
M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,-71.1055,42.3664,17,2012
M32013,Cambridge Main Library at Broadway / Trowbridge St,-71.1111,42.3734,19,2012
M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,-71.1142,42.3666,15,2012
M32016,Harvard Kennedy School at Bennett St / Eliot St,-71.1219,42.3722,23,2012
M32017,Harvard Square at Brattle St / Eliot St,-71.1194,42.3743,15,2012
M32018,Harvard Square at Mass Ave/ Dunster,-71.1186,42.3733,19,2012
M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,-71.0765,42.367,15,2012
M32020,Harvard Law School at Mass Ave / Jarvis St,-71.1199,42.379,19,2012
M32021,Harvard University Gund Hall at Quincy St / Kirkland St,-71.114,42.3764,15,2013
M32022,Lower Cambridgeport at Magazine St / Riverside Rd,-71.1139,42.3572,19,2012
M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,-71.1169,42.3779,17,2012
M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,-71.1251,42.3803,19,2012
M32025,Linear Park - Mass. Ave. at Cameron Ave.,-71.1305,42.3978,19,2013
M32026,359 Broadway - Broadway at Fayette Street,-71.1044,42.3708,23,2013
M32027,Binney St / Sixth St,-71.0863,42.3661,19,2013
